Time,#InQueue,#Completed,#Failed,#Workers
1498134935,0,0,0,2
1498134939,1,0,0,2
1498134946,2,0,0,2
1498135016,1,1,0,2
1498135019,2,1,0,2
1498135056,1,2,0,2
1498135062,2,2,0,2
1498135094,1,3,0,2
1498135111,2,3,0,2
1498135133,1,4,0,2
1498135140,2,4,0,2
1498135172,1,5,0,2
1498135179,2,5,0,2
1498135204,2,5,0,1
1498135211,1,6,0,1
1498135218,2,6,0,1
1498135250,1,7,0,1
1498135259,2,7,0,1
1498135264,2,7,0,2
1498135287,1,8,0,2
1498135292,2,8,0,2
1498135361,1,9,0,2
1498135369,2,9,0,2
1498135435,1,10,0,2
1498135440,2,10,0,2
1498135494,2,10,0,3
1498135509,1,11,0,3
1498135513,2,11,0,3
1498135573,1,12,0,3
1498135582,2,12,0,3
1498135612,1,13,0,3
1498135617,2,13,0,3
1498135651,1,14,0,3
1498135659,2,14,0,3
1498135687,1,15,0,3
1498135692,2,15,0,3
1498135730,1,16,0,3
1498135736,2,16,0,3
1498135757,1,17,0,3
1498135760,2,17,0,3
1498135790,1,18,0,3
1498135795,2,18,0,3
1498135808,1,19,0,3
1498135812,2,19,0,3
1498135846,1,20,0,3
1498135855,0,21,0,3
1498135863,1,21,0,3
1498135864,2,21,0,3
1498135895,1,22,0,3
1498135900,0,23,0,3
1498135903,1,23,0,3
1498135904,1,23,0,4
1498135913,2,23,0,4
1498135975,1,24,0,4
1498135980,2,24,0,4
1498135999,1,25,0,4
1498136003,2,25,0,4
1498136079,1,26,0,4
1498136085,2,26,0,4
1498136095,1,27,0,4
1498136101,2,27,0,4
1498136143,2,27,0,5
1498136174,1,28,0,5
1498136183,2,28,0,5
1498136195,1,29,0,5
1498136208,2,29,0,5
1498136254,1,30,0,5
1498136264,2,30,0,5
1498136272,1,31,0,5
1498136287,2,31,0,5
1498136332,1,32,0,5
1498136342,2,32,0,5
1498136348,1,33,0,5
1498136358,2,33,0,5
1498136410,1,34,0,5
1498136413,2,34,0,5
1498136429,1,35,0,5
1498136441,2,35,0,5
1498136475,1,36,0,5
1498136479,2,36,0,5
1498136488,1,37,0,5
1498136494,2,37,0,5
1498136523,2,37,0,3
1498136524,2,37,0,4
Time,#InQueue,#Completed,#Failed,#Workers
1498136578,0,0,0,4
1498136586,2,0,0,4
1498136651,2,0,0,2
1498136656,2,0,0,1
1498136811,2,0,0,2
1498137072,2,0,0,3
1498137109,1,1,0,3
1498137117,0,2,0,3
1498137128,2,2,0,3
1498137228,1,3,0,3
1498137234,2,3,0,3
1498137262,1,4,0,3
1498137272,2,4,0,3
1498137342,2,4,0,4
1498137367,1,5,0,4
1498137372,2,5,0,4
1498137393,1,6,0,4
1498137399,2,6,0,4
1498137473,1,7,0,4
1498137480,2,7,0,4
1498137501,1,8,0,4
1498137505,2,8,0,4
1498137579,1,9,0,4
1498137588,2,9,0,4
1498137591,1,10,0,4
1498137600,2,10,0,4
1498137670,1,11,0,4
1498137677,2,11,0,4
1498137696,1,12,0,4
1498137702,2,12,0,4
1498137774,1,13,0,4
1498137778,2,13,0,4
1498137784,1,14,0,4
1498137788,2,14,0,4
1498137867,1,15,0,4
1498137874,2,15,0,4
1498137890,1,16,0,4
1498137898,2,16,0,4
1498137967,1,17,0,4
1498137973,2,17,0,4
1498137993,1,18,0,4
1498137997,2,18,0,4
1498138062,1,19,0,4
1498138069,2,19,0,4
1498138097,1,20,0,4
1498138111,2,20,0,4
1498138162,1,21,0,4
1498138167,2,21,0,4
1498138200,1,22,0,4
1498138207,2,22,0,4
1498138259,1,23,0,4
1498138265,2,23,0,4
1498138299,1,24,0,4
1498138315,2,24,0,4
1498138360,1,25,0,4
1498138370,2,25,0,4
1498138411,1,26,0,4
1498138419,2,26,0,4
1498138456,1,27,0,4
1498138466,2,27,0,4
1498138518,1,28,0,4
1498138522,2,28,0,4
1498138559,1,29,0,4
1498138565,2,29,0,4
1498138623,1,30,0,4
1498138630,2,30,0,4
1498138662,1,31,0,4
1498138667,2,31,0,4
1498138736,1,32,0,4
1498138748,2,32,0,4
1498138763,1,33,0,4
1498138775,2,33,0,4
1498138808,1,34,0,4
1498138815,2,34,0,4
1498138845,1,35,0,4
1498138856,2,35,0,4
1498138880,2,35,0,5
1498138897,1,36,0,5
1498138903,1,36,0,3
1498138907,2,36,0,3
1498138983,1,37,0,3
1498138990,2,37,0,3
1498139067,1,38,0,3
1498139075,2,38,0,3
1498139147,1,39,0,3
1498139157,2,39,0,3
1498139221,2,39,0,4
1498139230,1,40,0,4
1498139238,2,40,0,4
1498139285,1,41,0,4
1498139290,2,41,0,4
1498139332,1,42,0,4
1498139338,2,42,0,4
1498139387,1,43,0,4
1498139403,2,43,0,4
1498139429,1,44,0,4
1498139436,2,44,0,4
1498139494,1,45,0,4
1498139499,2,45,0,4
1498139521,2,45,0,5
1498139529,1,46,0,5
1498139553,2,46,0,5
1498139582,1,47,0,5
1498139598,2,47,0,5
1498139620,1,48,0,5
1498139639,2,48,0,5
1498139663,1,49,0,5
1498139673,2,49,0,5
1498139687,1,50,0,5
1498139698,2,50,0,5
1498139740,0,52,0,5
1498139756,2,52,0,5
1498139789,1,53,0,5
1498139798,1,54,0,5
1498139810,1,54,0,3
1498139813,2,54,0,3
1498139835,1,55,0,3
1498139843,2,55,0,3
1498139860,2,55,0,2
1498139881,2,55,0,1
Time,#InQueue,#Completed,#Failed,#Workers
1498139987,0,0,0,1
1498139996,1,0,0,1
1498139999,2,0,0,1
1498140000,2,0,0,2
1498140142,1,1,0,2
1498140147,2,1,0,2
1498140183,1,2,0,2
1498140187,2,2,0,2
1498140260,2,2,0,3
1498140288,1,3,0,3
1498140295,2,3,0,3
1498140299,1,4,0,3
1498140307,2,4,0,3
1498140364,1,5,0,3
1498140371,2,5,0,3
1498140376,1,6,0,3
1498140386,2,6,0,3
1498140441,1,7,0,3
1498140450,2,7,0,3
1498140454,1,8,0,3
1498140460,2,8,0,3
