Time,#InQueue,#Completed,#Failed,#Workers
1498135857,0,0,0,3
1498135864,1,0,0,3
1498135869,2,0,0,3
1498135904,2,0,0,4
1498135925,1,1,0,4
1498135933,1,2,0,4
1498135943,2,2,0,4
1498136016,1,3,0,4
1498136020,2,3,0,4
1498136036,1,4,0,4
1498136040,2,4,0,4
1498136115,1,5,0,4
1498136119,2,5,0,4
1498136135,1,6,0,4
1498136141,2,6,0,4
1498136143,2,6,0,5
1498136215,1,7,0,5
1498136218,2,7,0,5
1498136234,1,8,0,5
1498136251,2,8,0,5
1498136292,1,9,0,5
1498136297,2,9,0,5
1498136311,1,10,0,5
1498136319,2,10,0,5
1498136371,1,11,0,5
1498136379,2,11,0,5
1498136389,1,12,0,5
1498136399,2,12,0,5
1498136438,1,13,0,5
1498136444,2,13,0,5
1498136454,1,14,0,5
1498136465,2,14,0,5
1498136505,1,15,0,5
1498136523,1,15,0,3
1498136524,2,15,0,4
Time,#InQueue,#Completed,#Failed,#Workers
1498136718,0,0,0,1
1498136725,2,0,0,1
1498136811,2,0,0,2
1498137072,2,0,0,3
1498137155,1,1,0,3
1498137165,2,1,0,3
1498137195,1,2,0,3
1498137201,2,2,0,3
1498137297,1,3,0,3
1498137303,2,3,0,3
1498137342,2,3,0,4
1498137346,1,4,0,4
1498137353,2,4,0,4
1498137424,1,5,0,4
1498137429,2,5,0,4
1498137464,1,6,0,4
1498137471,2,6,0,4
1498137513,1,7,0,4
1498137522,2,7,0,4
1498137553,1,8,0,4
1498137557,2,8,0,4
1498137619,1,9,0,4
1498137629,2,9,0,4
1498137657,1,10,0,4
1498137665,2,10,0,4
1498137715,1,11,0,4
1498137720,2,11,0,4
1498137750,1,12,0,4
1498137754,2,12,0,4
1498137820,1,13,0,4
1498137824,2,13,0,4
1498137856,1,14,0,4
1498137867,2,14,0,4
1498137923,1,15,0,4
1498137932,2,15,0,4
1498137958,1,16,0,4
1498137963,2,16,0,4
1498138023,1,17,0,4
1498138029,2,17,0,4
1498138062,1,18,0,4
1498138069,2,18,0,4
1498138123,1,19,0,4
1498138127,2,19,0,4
1498138167,1,20,0,4
1498138176,2,20,0,4
1498138221,1,21,0,4
1498138232,2,21,0,4
1498138271,1,22,0,4
1498138277,2,22,0,4
1498138321,1,23,0,4
1498138325,2,23,0,4
1498138382,1,24,0,4
1498138391,2,24,0,4
1498138419,1,25,0,4
1498138423,2,25,0,4
1498138480,1,26,0,4
1498138487,2,26,0,4
1498138514,1,27,0,4
1498138518,2,27,0,4
1498138587,1,28,0,4
1498138599,2,28,0,4
1498138612,1,29,0,4
1498138624,2,29,0,4
1498138694,1,30,0,4
1498138701,2,30,0,4
1498138721,1,31,0,4
1498138725,2,31,0,4
1498138780,1,32,0,4
1498138784,2,32,0,4
1498138804,1,33,0,4
1498138815,2,33,0,4
1498138856,1,34,0,4
1498138877,2,34,0,4
1498138880,1,35,0,5
1498138894,2,35,0,5
1498138903,2,35,0,3
1498139011,1,36,0,3
1498139016,2,36,0,3
1498139026,1,37,0,3
1498139037,2,37,0,3
1498139169,1,38,0,3
1498139181,2,38,0,3
1498139190,1,39,0,3
1498139196,2,39,0,3
1498139221,2,39,0,4
1498139292,1,40,0,4
1498139297,2,40,0,4
1498139309,1,41,0,4
1498139315,2,41,0,4
1498139386,1,42,0,4
1498139404,2,42,0,4
1498139411,1,43,0,4
1498139418,2,43,0,4
1498139499,1,44,0,4
1498139506,2,44,0,4
1498139511,1,45,0,4
1498139521,1,45,0,5
1498139527,2,45,0,5
1498139600,1,46,0,5
1498139601,0,47,0,5
1498139620,2,47,0,5
