Time,#InQueue,#Completed,#Failed,#Workers
1498135249,0,0,0,1
1498135255,1,0,0,1
1498135264,1,0,0,2
1498135265,2,0,0,2
1498135324,1,1,0,2
1498135328,2,1,0,2
1498135399,1,2,0,2
1498135407,2,2,0,2
1498135472,1,3,0,2
1498135483,2,3,0,2
1498135494,2,3,0,3
1498135546,1,4,0,3
1498135554,2,4,0,3
1498135582,1,5,0,3
1498135591,2,5,0,3
1498135616,1,6,0,3
1498135620,2,6,0,3
1498135651,1,7,0,3
1498135655,2,7,0,3
1498135691,1,8,0,3
1498135696,2,8,0,3
1498135721,1,9,0,3
1498135726,2,9,0,3
1498135769,1,10,0,3
1498135773,2,10,0,3
1498135776,1,11,0,3
1498135780,2,11,0,3
1498135817,1,12,0,3
1498135821,2,12,0,3
1498135825,1,13,0,3
1498135829,2,13,0,3
1498135864,1,14,0,3
1498135878,2,14,0,3
1498135885,1,15,0,3
1498135903,2,15,0,3
1498135904,2,15,0,4
1498135936,1,16,0,4
1498135944,2,16,0,4
1498136004,1,17,0,4
1498136007,2,17,0,4
1498136040,1,18,0,4
1498136048,2,18,0,4
1498136105,1,19,0,4
1498136113,2,19,0,4
1498136141,1,20,0,4
1498136144,1,20,0,5
1498136147,2,20,0,5
1498136209,1,21,0,5
1498136215,2,21,0,5
1498136231,1,22,0,5
1498136238,2,22,0,5
1498136278,1,23,0,5
1498136287,2,23,0,5
1498136300,1,24,0,5
1498136309,2,24,0,5
1498136349,1,25,0,5
1498136354,2,25,0,5
1498136368,1,26,0,5
1498136379,2,26,0,5
1498136418,1,27,0,5
1498136423,2,27,0,5
1498136432,1,28,0,5
1498136443,2,28,0,5
1498136472,1,29,0,5
1498136476,2,29,0,5
1498136488,1,30,0,5
1498136495,2,30,0,5
1498136524,2,30,0,4
Time,#InQueue,#Completed,#Failed,#Workers
1498136704,0,0,0,1
1498136712,2,0,0,1
1498136812,2,0,0,2
1498137072,2,0,0,3
1498137135,1,1,1,3
1498137142,2,1,1,3
1498137150,1,2,1,3
1498137165,2,2,1,3
1498137272,1,3,1,3
1498137275,2,3,1,3
1498137308,1,4,1,3
1498137313,2,4,1,3
1498137342,2,4,1,4
1498137403,1,5,1,4
1498137408,2,5,1,4
1498137432,1,6,1,4
1498137440,2,6,1,4
1498137509,1,7,1,4
1498137512,2,7,1,4
1498137541,1,8,1,4
1498137550,2,8,1,4
1498137612,1,9,1,4
1498137616,2,9,1,4
1498137647,1,10,1,4
1498137654,2,10,1,4
1498137708,1,11,1,4
1498137715,2,11,1,4
1498137747,1,12,1,4
1498137750,2,12,1,4
1498137812,1,13,1,4
1498137816,2,13,1,4
1498137851,1,14,1,4
1498137856,2,14,1,4
1498137907,1,15,1,4
1498137910,2,15,1,4
1498137945,1,16,1,4
1498137951,2,16,1,4
1498138008,1,17,1,4
1498138015,2,17,1,4
1498138045,1,18,1,4
1498138049,2,18,1,4
1498138103,1,19,1,4
1498138111,2,19,1,4
1498138142,1,20,1,4
1498138150,2,20,1,4
1498138200,1,21,1,4
1498138207,2,21,1,4
1498138242,1,22,1,4
1498138245,2,22,1,4
1498138306,1,23,1,4
1498138310,2,23,1,4
1498138342,1,24,1,4
1498138346,2,24,1,4
1498138399,1,25,1,4
1498138406,2,25,1,4
1498138445,1,26,1,4
1498138449,2,26,1,4
1498138496,1,27,1,4
1498138504,2,27,1,4
1498138549,1,28,1,4
1498138559,2,28,1,4
1498138599,1,29,1,4
1498138606,2,29,1,4
1498138654,1,30,1,4
1498138660,2,30,1,4
1498138701,1,31,1,4
1498138708,2,31,1,4
1498138763,1,32,1,4
1498138774,2,32,1,4
1498138802,1,33,1,4
1498138812,2,33,1,4
1498138840,1,34,1,4
1498138850,2,34,1,4
1498138880,2,34,1,5
1498138903,2,34,1,3
1498138940,1,35,1,3
1498138953,2,35,1,3
1498139050,1,36,1,3
1498139055,2,36,1,3
1498139107,1,37,1,3
1498139112,2,37,1,3
1498139209,1,38,1,3
1498139216,2,38,1,3
1498139221,2,38,1,4
1498139249,1,39,1,4
1498139261,2,39,1,4
1498139318,1,40,1,4
1498139327,2,40,1,4
1498139349,1,41,1,4
1498139354,2,41,1,4
1498139420,1,42,1,4
1498139429,2,42,1,4
1498139451,1,43,1,4
1498139460,2,43,1,4
1498139521,2,43,1,5
1498139532,1,44,1,5
1498139553,2,44,1,5
1498139556,1,45,1,5
1498139572,2,45,1,5
1498139620,1,46,1,5
1498139639,2,46,1,5
1498139645,1,47,1,5
1498139655,2,47,1,5
1498139707,1,48,1,5
1498139716,2,48,1,5
1498139726,1,49,1,5
1498139740,2,49,1,5
1498139758,1,50,1,5
1498139770,2,50,1,5
1498139810,2,50,1,3
1498139813,1,51,1,3
1498139823,2,51,1,3
1498139860,2,51,1,2
1498139864,1,52,1,2
1498139869,2,52,1,2
1498139881,2,52,1,1
1498139910,1,53,1,1
1498139916,2,53,1,1
1498139951,1,54,1,1
1498139959,2,54,1,1
Time,#InQueue,#Completed,#Failed,#Workers
1498139989,0,0,0,1
1498140000,0,0,0,2
1498140003,2,0,0,2
1498140221,1,1,0,2
1498140225,2,1,0,2
1498140259,1,2,0,2
1498140260,1,2,0,3
1498140266,2,2,0,3
1498140327,1,3,0,3
1498140334,2,3,0,3
1498140337,1,4,0,3
1498140347,2,4,0,3
1498140402,1,5,0,3
1498140407,2,5,0,3
1498140414,1,6,0,3
1498140417,2,6,0,3
1498140476,1,7,0,3
1498140480,2,7,0,3
1498140492,1,8,0,3
